[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /events                   --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).CreateEvent-fm (4 handlers)
[GIN-debug] GET    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEvent-fm (4 handlers)
[GIN-debug] PUT    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UpdateEvent-fm (4 handlers)
[GIN-debug] DELETE /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).DeleteEvent-fm (4 handlers)
[GIN-debug] GET    /events/nearby            --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventsByLocation-fm (4 handlers)
[GIN-debug] GET    /events/upcoming          --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUpcomingEvents-fm (4 handlers)
[GIN-debug] POST   /events/:id/register      --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).RegisterForEvent-fm (5 handlers)
[GIN-debug] DELETE /events/:id/unregister    --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UnregisterFromEvent-fm (5 handlers)
[GIN-debug] GET    /events/:id/attendees     --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventAttendees-fm (5 handlers)
[GIN-debug] GET    /events/user              --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUserEvents-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8082
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.366µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 14.889µs |       127.0.0.1 | GET      "/events/search?q=%27+UNION+SELECT+NULL%2C+NULL--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.547µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 15.452µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+1%3D1--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.273µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 86.731µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%27a%27%3D%27a"
[GIN] 2026/03/14 - 21:18:52 | 404 |  3.723µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 24.791µs |       127.0.0.1 | GET      "/events/search?q=admin%27--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.247µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 23.056µs |       127.0.0.1 | GET      "/events/search?q=1%27+ORDER+BY+1--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.048µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 23.002µs |       127.0.0.1 | GET      "/events/search?q=1%27+ORDER+BY+10--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.207µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 15.231µs |       127.0.0.1 | GET      "/events/search?q=1%27+UNION+SELECT+NULL%2C+version%28%29--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.367µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 12.314µs |       127.0.0.1 | GET      "/events/search?q=1%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.322µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 20.564µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+SLEEP%285%29--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.342µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 14.188µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+1%3D1--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.202µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 13.019µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+1%3D2--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.188µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 12.222µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%27%27%3D%27"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.187µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 |   1.25ms |       127.0.0.1 | GET      "/events/search?q=1%27+AND+SLEEP%283%29%23"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.208µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 12.474µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+%271%27%3D%271"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.234µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 |  15.76µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+%271%27%3D%272"
[GIN] 2026/03/14 - 21:18:52 | 404 |  2.087µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:53 | 404 |  3.877µs |       127.0.0.1 | GET      "/events"

2026/03/14 21:18:53 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[1.689ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 1 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:18:53 | 404 |   1.85ms |       127.0.0.1 | GET      "/events/1"

2026/03/14 21:18:53 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[7.082ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 999 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:18:53 | 404 |   7.23ms |       127.0.0.1 | GET      "/events/999"
[GIN] 2026/03/14 - 21:18:53 | 400 | 60.709µs |       127.0.0.1 | GET      "/events/search?q=test"
[GIN] 2026/03/14 - 21:18:53 | 400 | 81.113µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:53 | 400 | 524.938µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:53 | 400 | 38.679µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:53 | 400 | 36.686µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:53 | 400 | 26.136µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:53 | 400 | 34.652µs |       127.0.0.1 | POST     "/events"
